ticker;score_sector;score_general;score_final;business_segment;activity_subsector;sector;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
GOAU3;0,602385986848894;0,5155633764813693;0,5546335511467555;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;METALURGICA GERDAU;31,08;11,07;4,9;0,71;0,53;0,09;1,94;1,43;0,75;1,65;3,01;13,58;11,35;15,42;2,53;0,11;-0,17;0,42;1,25;0,92;5,58;0,14;0,16;-0,14;0,67;0,33;1,89;2,82;8,89;58,27;3;False
GGBR4;0,6014210351132299;0,5159238868404125;0,5543976035631804;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;GERDAU;32,02;11,07;4,99;0,73;0,53;0,09;5,11;3,71;0,75;2,35;3,01;11,06;11,38;15,66;7,44;0,38;-0,61;1,51;4,46;3,24;6,82;0,51;0,57;-0,17;0,67;0,33;5,56;8,3;9,14;28,34;4;False
EALT4;0,6038429694193626;0,5113605898311772;0,5529776606458606;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;ELECTRO ACO ALTONA;40,87;14,94;3,79;1,2;0,94;0,37;4,73;3,72;0,9;3,02;1,17;28,54;15,7;19,96;12,3;0,49;-0,88;7,76;3,47;2,73;4,43;0,55;1,08;0,04;0,45;0,55;11,03;24,31;18,25;12,43;4;False
GEPA4;0,5781802484003787;0,5250234316960997;0,5489439992130253;Energia Elétrica;Energia Elétrica;Utilidade Pública;RIO PARANAPANEMA;26,61;1,08;20,15;1,35;0,77;0,22;9,45;5,44;0,4;8,82;0,54;13,64;24,48;42,52;59,3;0,79;-0,91;-7,05;8,17;4,71;3,37;2,0;1,32;0,02;0,6;0,4;23,45;39,21;10,36;22,48;4;False
TGMA3;0,6108920878627903;0,4935707388774678;0,5463653459208629;Transporte Rodoviário;Transporte;Bens Industriais;TEGMA GESTÃO LOGÍSTICA;16,85;4,78;8,21;-0,31;-0,32;-0,11;6,6;6,65;1,49;3,57;2,8;20,87;16,42;16,29;12,29;1,69;-3,66;4,9;6,91;6,97;9,24;1,14;2,44;0,35;0,69;0,31;18,32;26,44;25,02;13,51;3;False
GGPS3;0,596174315021339;0,5034523269114664;0,5451772215609091;Logística;Transporte;Bens Industriais;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;27,32;26,58;2,12;1,6;0,0;0,58;9,82;0,0;0,94;1,0;2,33;16,04;9,12;0,0;4,97;0,7;-1,5;2,3;8,22;0,0;15,09;0,75;2,95;1,14;0,24;0,76;4,65;19,58;11,06;5,09;3;False
GMAT3;0,5854714272849182;0,5084754087126881;0,5431236170701916;Alimentos;Comércio e Distribuição;Consumo não Cíclico;GRUPO MATEUS S.A.;34,74;31,22;2,79;1,57;1,34;0,34;9,4;8,0;1,73;0,59;2,09;22,34;6,45;7,59;4,29;0,87;-2,24;2,73;7,83;6,66;11,77;0,51;1,68;0,74;0,52;0,48;7,41;14,3;14,15;4,12;3;False
EMAE4;0,509001737311199;0,5674228823194427;0,541133367065733;Energia Elétrica;Energia Elétrica;Utilidade Pública;EMAE - EMPRESA METROP.AGUAS ENERGIA;7,3;13,78;3,86;-4,71;-4,21;-0,35;18,1;16,15;0,29;3,91;7,38;28,37;14,0;15,69;23,41;0,73;-1,26;1,97;18,08;16,14;10,81;2,53;1,36;0,19;0,53;0,47;6,71;12,55;5,79;31,13;4;False
KLBN4;0,5732245216318299;0,5123456939828137;0,539741166424871;Papel e Celulose;Madeira e Papel;Materiais Básicos;KLABIN;71,91;12,47;5,78;7,08;4,76;2,9;13,38;8,99;0,32;0,33;2,3;35,44;21,64;32,22;10,93;0,43;-0,57;3,19;6,26;4,21;12,4;1,36;2,56;-0,44;0,17;0,8;3,5;20,66;7,32;1,62;4;False
KLBN3;0,569139621625693;0,5107729802883315;0,5370379688901442;Papel e Celulose;Madeira e Papel;Materiais Básicos;KLABIN;71,91;12,47;5,51;7,08;4,76;2,9;13,38;8,99;0,32;0,33;2,3;35,44;21,64;32,22;10,93;0,46;-0,6;3,35;6,58;4,42;13,02;1,42;2,69;-0,46;0,17;0,8;3,5;20,66;7,32;1,62;3;False
MILS3;0,5916870425825017;0,49198735241527547;0,5368522129905273;Serviços Diversos;Serviços;Bens Industriais;MILLS;0,0;35,27;6,74;1,96;1,35;0,67;6,29;4,33;0,42;1,24;2,15;62,87;33,08;48,08;19,22;0,6;-0,94;3,17;4,34;2,98;7,46;1,43;1,48;0,4;0,41;0,59;8,09;19,83;12,47;6,25;3;False
